47,Gesamtwertung,,,,,,
Art,No-Limit Hold'em,,,,,,
Datum,25.04.2020,,,,,,
Turnierbeginn,20:45,,,,,,
Dauer in min,00:00,,,,,,
Dauer in h,3:07:00,,,,,,
Buy-In,20,,,,,,
Teilnehmer,11,,,,,,
Rebuys,1,,,,,,
Preispool,240,,,,,,
Auszahlung,3,,,,,,
Rang,Spieler,Auszahlung,Profit,Rating,n the money,Quali,Teilnahme
1,OnkelSchosch,120,100,"130,0","1,0","1,0",OnkelSchosch1
2,xot16,72,52,"92,0","1,0","1,0",xot161
3,dermörder,48,28,"74,0","1,0","1,0",dermörder1
4,TheGreatest1990 ,0,-20,"46,0",,"1,0",TheGreatest19901
5,Daladies81,0,-20,"42,8",,1,Daladies811
6,ackb4r,0,-20,"40,0",,1,ackb4r1
7,AnthonySambini,0,-20,"37,4",,1,AnthonySambini1
8,FG1983000,0,-20,"27,0",,1,FG19830001
9,ahfmuh,0,-20,"26,7",,1,ahfmuh1
10,IlseMacket,0,-20,"26,4",,1,IlseMacket1
11,simon31791,0,-20,"26,2",,1,simon317911
,Schizo85,,,,,,
,bCid_de,,,,,,
,Bronski0714,,,,,,
,Globetrotter94,,,,,,
,weltrat111,,,,,,
,RomanReuberson,,,,,,
,Skill&Tens,,,,,,
,Kasule069 ,,,,,,
,xinaj ,,,,,,
,Artie van Delay,,,,,,
,Isachen185,,,,,,
,Gereul,,,,,,
,Dschannien,,,,,,
,Kaikeymaster1,,,,,,
,BennyTillHansen,,,,,,
,MaxOwaR111,,,,,,
,Sascha71189,,,,,,
,cyprezz,,,,,,
